"","State","Industry","Series ID","Month","Turnover"
"36","South Australia","Hardware, building and garden supplies retailing","A3349501L",1985 Mar,12.4
"37","South Australia","Hardware, building and garden supplies retailing","A3349501L",1985 Apr,11.6
"38","South Australia","Hardware, building and garden supplies retailing","A3349501L",1985 May,13.8
"39","South Australia","Hardware, building and garden supplies retailing","A3349501L",1985 Jun,12.1
"40","South Australia","Hardware, building and garden supplies retailing","A3349501L",1985 Jul,13.5
"41","South Australia","Hardware, building and garden supplies retailing","A3349501L",1985 Aug,13.9
"42","South Australia","Hardware, building and garden supplies retailing","A3349501L",1985 Sep,12.8
"43","South Australia","Hardware, building and garden supplies retailing","A3349501L",1985 Oct,13.2
"44","South Australia","Hardware, building and garden supplies retailing","A3349501L",1985 Nov,15.7
"45","South Australia","Hardware, building and garden supplies retailing","A3349501L",1985 Dec,29.9
"46","South Australia","Hardware, building and garden supplies retailing","A3349501L",1986 Jan,10.7
"47","South Australia","Hardware, building and garden supplies retailing","A3349501L",1986 Feb,11.5
"48","South Australia","Hardware, building and garden supplies retailing","A3349501L",1986 Mar,10.7
"49","South Australia","Hardware, building and garden supplies retailing","A3349501L",1986 Apr,11.9
"50","South Australia","Hardware, building and garden supplies retailing","A3349501L",1986 May,12.9
"51","South Australia","Hardware, building and garden supplies retailing","A3349501L",1986 Jun,10.6
"52","South Australia","Hardware, building and garden supplies retailing","A3349501L",1986 Jul,11.1
"53","South Australia","Hardware, building and garden supplies retailing","A3349501L",1986 Aug,11.5
"54","South Australia","Hardware, building and garden supplies retailing","A3349501L",1986 Sep,11.1
"55","South Australia","Hardware, building and garden supplies retailing","A3349501L",1986 Oct,13.2
"56","South Australia","Hardware, building and garden supplies retailing","A3349501L",1986 Nov,13.8
"57","South Australia","Hardware, building and garden supplies retailing","A3349501L",1986 Dec,26
"58","South Australia","Hardware, building and garden supplies retailing","A3349501L",1987 Jan,12.5
"59","South Australia","Hardware, building and garden supplies retailing","A3349501L",1987 Feb,11.8
"60","South Australia","Hardware, building and garden supplies retailing","A3349501L",1987 Mar,11.5
"61","South Australia","Hardware, building and garden supplies retailing","A3349501L",1987 Apr,11.3
"62","South Australia","Hardware, building and garden supplies retailing","A3349501L",1987 May,11.4
"63","South Australia","Hardware, building and garden supplies retailing","A3349501L",1987 Jun,11.4
"64","South Australia","Hardware, building and garden supplies retailing","A3349501L",1987 Jul,12
"65","South Australia","Hardware, building and garden supplies retailing","A3349501L",1987 Aug,13
"66","South Australia","Hardware, building and garden supplies retailing","A3349501L",1987 Sep,12.7
"67","South Australia","Hardware, building and garden supplies retailing","A3349501L",1987 Oct,14.8
"68","South Australia","Hardware, building and garden supplies retailing","A3349501L",1987 Nov,16.8
"69","South Australia","Hardware, building and garden supplies retailing","A3349501L",1987 Dec,29.2
"70","South Australia","Hardware, building and garden supplies retailing","A3349501L",1988 Jan,13.3
"71","South Australia","Hardware, building and garden supplies retailing","A3349501L",1988 Feb,14.7
"72","South Australia","Hardware, building and garden supplies retailing","A3349501L",1988 Mar,13.6
"73","South Australia","Hardware, building and garden supplies retailing","A3349501L",1988 Apr,12.7
"74","South Australia","Hardware, building and garden supplies retailing","A3349501L",1988 May,14.2
"75","South Australia","Hardware, building and garden supplies retailing","A3349501L",1988 Jun,13.6
"76","South Australia","Hardware, building and garden supplies retailing","A3349501L",1988 Jul,13.5
"77","South Australia","Hardware, building and garden supplies retailing","A3349501L",1988 Aug,15.5
"78","South Australia","Hardware, building and garden supplies retailing","A3349501L",1988 Sep,17.2
"79","South Australia","Hardware, building and garden supplies retailing","A3349501L",1988 Oct,18.7
"80","South Australia","Hardware, building and garden supplies retailing","A3349501L",1988 Nov,20.4
"81","South Australia","Hardware, building and garden supplies retailing","A3349501L",1988 Dec,27.2
"82","South Australia","Hardware, building and garden supplies retailing","A3349501L",1989 Jan,18.1
"83","South Australia","Hardware, building and garden supplies retailing","A3349501L",1989 Feb,14.6
"84","South Australia","Hardware, building and garden supplies retailing","A3349501L",1989 Mar,17.1
"85","South Australia","Hardware, building and garden supplies retailing","A3349501L",1989 Apr,15.4
"86","South Australia","Hardware, building and garden supplies retailing","A3349501L",1989 May,15.9
"87","South Australia","Hardware, building and garden supplies retailing","A3349501L",1989 Jun,17.6
"88","South Australia","Hardware, building and garden supplies retailing","A3349501L",1989 Jul,16.8
"89","South Australia","Hardware, building and garden supplies retailing","A3349501L",1989 Aug,21.1
"90","South Australia","Hardware, building and garden supplies retailing","A3349501L",1989 Sep,22.1
"91","South Australia","Hardware, building and garden supplies retailing","A3349501L",1989 Oct,24.9
"92","South Australia","Hardware, building and garden supplies retailing","A3349501L",1989 Nov,27.1
"93","South Australia","Hardware, building and garden supplies retailing","A3349501L",1989 Dec,34.5
"94","South Australia","Hardware, building and garden supplies retailing","A3349501L",1990 Jan,23.9
"95","South Australia","Hardware, building and garden supplies retailing","A3349501L",1990 Feb,22.8
"96","South Australia","Hardware, building and garden supplies retailing","A3349501L",1990 Mar,21.2
"97","South Australia","Hardware, building and garden supplies retailing","A3349501L",1990 Apr,20.6
"98","South Australia","Hardware, building and garden supplies retailing","A3349501L",1990 May,22.2
"99","South Australia","Hardware, building and garden supplies retailing","A3349501L",1990 Jun,20.4
"100","South Australia","Hardware, building and garden supplies retailing","A3349501L",1990 Jul,18.6
"101","South Australia","Hardware, building and garden supplies retailing","A3349501L",1990 Aug,23
"102","South Australia","Hardware, building and garden supplies retailing","A3349501L",1990 Sep,22.2
"103","South Australia","Hardware, building and garden supplies retailing","A3349501L",1990 Oct,24.9
"104","South Australia","Hardware, building and garden supplies retailing","A3349501L",1990 Nov,25.9
"105","South Australia","Hardware, building and garden supplies retailing","A3349501L",1990 Dec,35.7
"106","South Australia","Hardware, building and garden supplies retailing","A3349501L",1991 Jan,20.4
"107","South Australia","Hardware, building and garden supplies retailing","A3349501L",1991 Feb,18.3
"108","South Australia","Hardware, building and garden supplies retailing","A3349501L",1991 Mar,19.2
"109","South Australia","Hardware, building and garden supplies retailing","A3349501L",1991 Apr,19.9
"110","South Australia","Hardware, building and garden supplies retailing","A3349501L",1991 May,20.8
"111","South Australia","Hardware, building and garden supplies retailing","A3349501L",1991 Jun,20.3
"112","South Australia","Hardware, building and garden supplies retailing","A3349501L",1991 Jul,23.6
"113","South Australia","Hardware, building and garden supplies retailing","A3349501L",1991 Aug,25
"114","South Australia","Hardware, building and garden supplies retailing","A3349501L",1991 Sep,23
"115","South Australia","Hardware, building and garden supplies retailing","A3349501L",1991 Oct,27.6
"116","South Australia","Hardware, building and garden supplies retailing","A3349501L",1991 Nov,28.5
"117","South Australia","Hardware, building and garden supplies retailing","A3349501L",1991 Dec,40.7
"118","South Australia","Hardware, building and garden supplies retailing","A3349501L",1992 Jan,22.8
"119","South Australia","Hardware, building and garden supplies retailing","A3349501L",1992 Feb,20.6
"120","South Australia","Hardware, building and garden supplies retailing","A3349501L",1992 Mar,21.3
"121","South Australia","Hardware, building and garden supplies retailing","A3349501L",1992 Apr,28.6
"122","South Australia","Hardware, building and garden supplies retailing","A3349501L",1992 May,28.2
"123","South Australia","Hardware, building and garden supplies retailing","A3349501L",1992 Jun,24.6
"124","South Australia","Hardware, building and garden supplies retailing","A3349501L",1992 Jul,28.1
"125","South Australia","Hardware, building and garden supplies retailing","A3349501L",1992 Aug,26.2
"126","South Australia","Hardware, building and garden supplies retailing","A3349501L",1992 Sep,27.7
"127","South Australia","Hardware, building and garden supplies retailing","A3349501L",1992 Oct,31.6
"128","South Australia","Hardware, building and garden supplies retailing","A3349501L",1992 Nov,33.7
"129","South Australia","Hardware, building and garden supplies retailing","A3349501L",1992 Dec,46
"130","South Australia","Hardware, building and garden supplies retailing","A3349501L",1993 Jan,30.9
"131","South Australia","Hardware, building and garden supplies retailing","A3349501L",1993 Feb,25.3
"132","South Australia","Hardware, building and garden supplies retailing","A3349501L",1993 Mar,26
"133","South Australia","Hardware, building and garden supplies retailing","A3349501L",1993 Apr,24
"134","South Australia","Hardware, building and garden supplies retailing","A3349501L",1993 May,22.9
"135","South Australia","Hardware, building and garden supplies retailing","A3349501L",1993 Jun,23.3
"136","South Australia","Hardware, building and garden supplies retailing","A3349501L",1993 Jul,22
"137","South Australia","Hardware, building and garden supplies retailing","A3349501L",1993 Aug,26.4
"138","South Australia","Hardware, building and garden supplies retailing","A3349501L",1993 Sep,26.2
"139","South Australia","Hardware, building and garden supplies retailing","A3349501L",1993 Oct,32.5
"140","South Australia","Hardware, building and garden supplies retailing","A3349501L",1993 Nov,34.5
"141","South Australia","Hardware, building and garden supplies retailing","A3349501L",1993 Dec,40.1
"142","South Australia","Hardware, building and garden supplies retailing","A3349501L",1994 Jan,29.9
"143","South Australia","Hardware, building and garden supplies retailing","A3349501L",1994 Feb,28.7
"144","South Australia","Hardware, building and garden supplies retailing","A3349501L",1994 Mar,32
"145","South Australia","Hardware, building and garden supplies retailing","A3349501L",1994 Apr,27
"146","South Australia","Hardware, building and garden supplies retailing","A3349501L",1994 May,27
"147","South Australia","Hardware, building and garden supplies retailing","A3349501L",1994 Jun,27.2
"148","South Australia","Hardware, building and garden supplies retailing","A3349501L",1994 Jul,24.7
"149","South Australia","Hardware, building and garden supplies retailing","A3349501L",1994 Aug,25.6
"150","South Australia","Hardware, building and garden supplies retailing","A3349501L",1994 Sep,27.1
"151","South Australia","Hardware, building and garden supplies retailing","A3349501L",1994 Oct,27.8
"152","South Australia","Hardware, building and garden supplies retailing","A3349501L",1994 Nov,28.1
"153","South Australia","Hardware, building and garden supplies retailing","A3349501L",1994 Dec,36.4
"154","South Australia","Hardware, building and garden supplies retailing","A3349501L",1995 Jan,25
"155","South Australia","Hardware, building and garden supplies retailing","A3349501L",1995 Feb,22.5
"156","South Australia","Hardware, building and garden supplies retailing","A3349501L",1995 Mar,25.4
"157","South Australia","Hardware, building and garden supplies retailing","A3349501L",1995 Apr,26.1
"158","South Australia","Hardware, building and garden supplies retailing","A3349501L",1995 May,27
"159","South Australia","Hardware, building and garden supplies retailing","A3349501L",1995 Jun,25.7
"160","South Australia","Hardware, building and garden supplies retailing","A3349501L",1995 Jul,24.5
"161","South Australia","Hardware, building and garden supplies retailing","A3349501L",1995 Aug,26.7
"162","South Australia","Hardware, building and garden supplies retailing","A3349501L",1995 Sep,27.4
"163","South Australia","Hardware, building and garden supplies retailing","A3349501L",1995 Oct,29.3
"164","South Australia","Hardware, building and garden supplies retailing","A3349501L",1995 Nov,29.8
"165","South Australia","Hardware, building and garden supplies retailing","A3349501L",1995 Dec,43.2
"166","South Australia","Hardware, building and garden supplies retailing","A3349501L",1996 Jan,30.6
"167","South Australia","Hardware, building and garden supplies retailing","A3349501L",1996 Feb,26.7
"168","South Australia","Hardware, building and garden supplies retailing","A3349501L",1996 Mar,28.6
"169","South Australia","Hardware, building and garden supplies retailing","A3349501L",1996 Apr,28.4
"170","South Australia","Hardware, building and garden supplies retailing","A3349501L",1996 May,28.2
"171","South Australia","Hardware, building and garden supplies retailing","A3349501L",1996 Jun,25.8
"172","South Australia","Hardware, building and garden supplies retailing","A3349501L",1996 Jul,28.2
"173","South Australia","Hardware, building and garden supplies retailing","A3349501L",1996 Aug,31.1
"174","South Australia","Hardware, building and garden supplies retailing","A3349501L",1996 Sep,30.5
"175","South Australia","Hardware, building and garden supplies retailing","A3349501L",1996 Oct,34.3
"176","South Australia","Hardware, building and garden supplies retailing","A3349501L",1996 Nov,35
"177","South Australia","Hardware, building and garden supplies retailing","A3349501L",1996 Dec,49.3
"178","South Australia","Hardware, building and garden supplies retailing","A3349501L",1997 Jan,30.1
"179","South Australia","Hardware, building and garden supplies retailing","A3349501L",1997 Feb,25.7
"180","South Australia","Hardware, building and garden supplies retailing","A3349501L",1997 Mar,32.1
"181","South Australia","Hardware, building and garden supplies retailing","A3349501L",1997 Apr,30.9
"182","South Australia","Hardware, building and garden supplies retailing","A3349501L",1997 May,31.2
"183","South Australia","Hardware, building and garden supplies retailing","A3349501L",1997 Jun,29.3
"184","South Australia","Hardware, building and garden supplies retailing","A3349501L",1997 Jul,30.6
"185","South Australia","Hardware, building and garden supplies retailing","A3349501L",1997 Aug,33.1
"186","South Australia","Hardware, building and garden supplies retailing","A3349501L",1997 Sep,34.3
"187","South Australia","Hardware, building and garden supplies retailing","A3349501L",1997 Oct,38.9
"188","South Australia","Hardware, building and garden supplies retailing","A3349501L",1997 Nov,40.5
"189","South Australia","Hardware, building and garden supplies retailing","A3349501L",1997 Dec,56.3
"190","South Australia","Hardware, building and garden supplies retailing","A3349501L",1998 Jan,38.1
"191","South Australia","Hardware, building and garden supplies retailing","A3349501L",1998 Feb,33.3
"192","South Australia","Hardware, building and garden supplies retailing","A3349501L",1998 Mar,33.4
"193","South Australia","Hardware, building and garden supplies retailing","A3349501L",1998 Apr,35.2
"194","South Australia","Hardware, building and garden supplies retailing","A3349501L",1998 May,35.4
"195","South Australia","Hardware, building and garden supplies retailing","A3349501L",1998 Jun,33.2
"196","South Australia","Hardware, building and garden supplies retailing","A3349501L",1998 Jul,35.5
"197","South Australia","Hardware, building and garden supplies retailing","A3349501L",1998 Aug,38
"198","South Australia","Hardware, building and garden supplies retailing","A3349501L",1998 Sep,40.7
"199","South Australia","Hardware, building and garden supplies retailing","A3349501L",1998 Oct,46.4
"200","South Australia","Hardware, building and garden supplies retailing","A3349501L",1998 Nov,44.4
"201","South Australia","Hardware, building and garden supplies retailing","A3349501L",1998 Dec,57.2
"202","South Australia","Hardware, building and garden supplies retailing","A3349501L",1999 Jan,36.8
"203","South Australia","Hardware, building and garden supplies retailing","A3349501L",1999 Feb,33.8
"204","South Australia","Hardware, building and garden supplies retailing","A3349501L",1999 Mar,36.7
"205","South Australia","Hardware, building and garden supplies retailing","A3349501L",1999 Apr,35.7
"206","South Australia","Hardware, building and garden supplies retailing","A3349501L",1999 May,33.3
"207","South Australia","Hardware, building and garden supplies retailing","A3349501L",1999 Jun,34.2
"208","South Australia","Hardware, building and garden supplies retailing","A3349501L",1999 Jul,39.7
"209","South Australia","Hardware, building and garden supplies retailing","A3349501L",1999 Aug,41.9
"210","South Australia","Hardware, building and garden supplies retailing","A3349501L",1999 Sep,46.1
"211","South Australia","Hardware, building and garden supplies retailing","A3349501L",1999 Oct,52.2
"212","South Australia","Hardware, building and garden supplies retailing","A3349501L",1999 Nov,53.5
"213","South Australia","Hardware, building and garden supplies retailing","A3349501L",1999 Dec,71.3
"214","South Australia","Hardware, building and garden supplies retailing","A3349501L",2000 Jan,48.1
"215","South Australia","Hardware, building and garden supplies retailing","A3349501L",2000 Feb,43.5
"216","South Australia","Hardware, building and garden supplies retailing","A3349501L",2000 Mar,46.7
"217","South Australia","Hardware, building and garden supplies retailing","A3349501L",2000 Apr,50.3
"218","South Australia","Hardware, building and garden supplies retailing","A3349501L",2000 May,50.9
"219","South Australia","Hardware, building and garden supplies retailing","A3349501L",2000 Jun,55.9
"220","South Australia","Hardware, building and garden supplies retailing","A3349501L",2000 Jul,46.9
"221","South Australia","Hardware, building and garden supplies retailing","A3349501L",2000 Aug,52.2
"222","South Australia","Hardware, building and garden supplies retailing","A3349501L",2000 Sep,52.5
"223","South Australia","Hardware, building and garden supplies retailing","A3349501L",2000 Oct,65.7
"224","South Australia","Hardware, building and garden supplies retailing","A3349501L",2000 Nov,67.1
"225","South Australia","Hardware, building and garden supplies retailing","A3349501L",2000 Dec,84.5
"226","South Australia","Hardware, building and garden supplies retailing","A3349501L",2001 Jan,57.9
"227","South Australia","Hardware, building and garden supplies retailing","A3349501L",2001 Feb,50.8
"228","South Australia","Hardware, building and garden supplies retailing","A3349501L",2001 Mar,61.8
"229","South Australia","Hardware, building and garden supplies retailing","A3349501L",2001 Apr,68
"230","South Australia","Hardware, building and garden supplies retailing","A3349501L",2001 May,74.3
"231","South Australia","Hardware, building and garden supplies retailing","A3349501L",2001 Jun,68.7
"232","South Australia","Hardware, building and garden supplies retailing","A3349501L",2001 Jul,64.8
"233","South Australia","Hardware, building and garden supplies retailing","A3349501L",2001 Aug,64.8
"234","South Australia","Hardware, building and garden supplies retailing","A3349501L",2001 Sep,74.2
"235","South Australia","Hardware, building and garden supplies retailing","A3349501L",2001 Oct,79.9
"236","South Australia","Hardware, building and garden supplies retailing","A3349501L",2001 Nov,84.1
"237","South Australia","Hardware, building and garden supplies retailing","A3349501L",2001 Dec,101.1
"238","South Australia","Hardware, building and garden supplies retailing","A3349501L",2002 Jan,76.2
"239","South Australia","Hardware, building and garden supplies retailing","A3349501L",2002 Feb,68.7
"240","South Australia","Hardware, building and garden supplies retailing","A3349501L",2002 Mar,73.2
"241","South Australia","Hardware, building and garden supplies retailing","A3349501L",2002 Apr,73.1
"242","South Australia","Hardware, building and garden supplies retailing","A3349501L",2002 May,72.1
"243","South Australia","Hardware, building and garden supplies retailing","A3349501L",2002 Jun,65.6
"244","South Australia","Hardware, building and garden supplies retailing","A3349501L",2002 Jul,63.1
"245","South Australia","Hardware, building and garden supplies retailing","A3349501L",2002 Aug,72.4
"246","South Australia","Hardware, building and garden supplies retailing","A3349501L",2002 Sep,70.9
"247","South Australia","Hardware, building and garden supplies retailing","A3349501L",2002 Oct,79.6
"248","South Australia","Hardware, building and garden supplies retailing","A3349501L",2002 Nov,84.6
"249","South Australia","Hardware, building and garden supplies retailing","A3349501L",2002 Dec,96.5
"250","South Australia","Hardware, building and garden supplies retailing","A3349501L",2003 Jan,65.7
"251","South Australia","Hardware, building and garden supplies retailing","A3349501L",2003 Feb,57.8
"252","South Australia","Hardware, building and garden supplies retailing","A3349501L",2003 Mar,63.4
"253","South Australia","Hardware, building and garden supplies retailing","A3349501L",2003 Apr,66.5
"254","South Australia","Hardware, building and garden supplies retailing","A3349501L",2003 May,68.7
"255","South Australia","Hardware, building and garden supplies retailing","A3349501L",2003 Jun,63.3
"256","South Australia","Hardware, building and garden supplies retailing","A3349501L",2003 Jul,66
"257","South Australia","Hardware, building and garden supplies retailing","A3349501L",2003 Aug,68.3
"258","South Australia","Hardware, building and garden supplies retailing","A3349501L",2003 Sep,74.2
"259","South Australia","Hardware, building and garden supplies retailing","A3349501L",2003 Oct,80.4
"260","South Australia","Hardware, building and garden supplies retailing","A3349501L",2003 Nov,80.5
"261","South Australia","Hardware, building and garden supplies retailing","A3349501L",2003 Dec,96.1
"262","South Australia","Hardware, building and garden supplies retailing","A3349501L",2004 Jan,73.7
"263","South Australia","Hardware, building and garden supplies retailing","A3349501L",2004 Feb,61.1
"264","South Australia","Hardware, building and garden supplies retailing","A3349501L",2004 Mar,69.1
"265","South Australia","Hardware, building and garden supplies retailing","A3349501L",2004 Apr,68
"266","South Australia","Hardware, building and garden supplies retailing","A3349501L",2004 May,64.8
"267","South Australia","Hardware, building and garden supplies retailing","A3349501L",2004 Jun,61.7
"268","South Australia","Hardware, building and garden supplies retailing","A3349501L",2004 Jul,63
"269","South Australia","Hardware, building and garden supplies retailing","A3349501L",2004 Aug,65.9
"270","South Australia","Hardware, building and garden supplies retailing","A3349501L",2004 Sep,68.9
"271","South Australia","Hardware, building and garden supplies retailing","A3349501L",2004 Oct,72.7
"272","South Australia","Hardware, building and garden supplies retailing","A3349501L",2004 Nov,68.8
"273","South Australia","Hardware, building and garden supplies retailing","A3349501L",2004 Dec,90.8
"274","South Australia","Hardware, building and garden supplies retailing","A3349501L",2005 Jan,69.5
"275","South Australia","Hardware, building and garden supplies retailing","A3349501L",2005 Feb,58.8
"276","South Australia","Hardware, building and garden supplies retailing","A3349501L",2005 Mar,62.9
"277","South Australia","Hardware, building and garden supplies retailing","A3349501L",2005 Apr,64.5
"278","South Australia","Hardware, building and garden supplies retailing","A3349501L",2005 May,64.5
"279","South Australia","Hardware, building and garden supplies retailing","A3349501L",2005 Jun,62.2
"280","South Australia","Hardware, building and garden supplies retailing","A3349501L",2005 Jul,56.9
"281","South Australia","Hardware, building and garden supplies retailing","A3349501L",2005 Aug,53.5
"282","South Australia","Hardware, building and garden supplies retailing","A3349501L",2005 Sep,53.9
"283","South Australia","Hardware, building and garden supplies retailing","A3349501L",2005 Oct,61.2
"284","South Australia","Hardware, building and garden supplies retailing","A3349501L",2005 Nov,63.7
"285","South Australia","Hardware, building and garden supplies retailing","A3349501L",2005 Dec,79.1
"286","South Australia","Hardware, building and garden supplies retailing","A3349501L",2006 Jan,59.6
"287","South Australia","Hardware, building and garden supplies retailing","A3349501L",2006 Feb,51.9
"288","South Australia","Hardware, building and garden supplies retailing","A3349501L",2006 Mar,57
"289","South Australia","Hardware, building and garden supplies retailing","A3349501L",2006 Apr,64
"290","South Australia","Hardware, building and garden supplies retailing","A3349501L",2006 May,61.8
"291","South Australia","Hardware, building and garden supplies retailing","A3349501L",2006 Jun,61.2
"292","South Australia","Hardware, building and garden supplies retailing","A3349501L",2006 Jul,66.2
"293","South Australia","Hardware, building and garden supplies retailing","A3349501L",2006 Aug,73
"294","South Australia","Hardware, building and garden supplies retailing","A3349501L",2006 Sep,72.9
"295","South Australia","Hardware, building and garden supplies retailing","A3349501L",2006 Oct,78.5
"296","South Australia","Hardware, building and garden supplies retailing","A3349501L",2006 Nov,77.4
"297","South Australia","Hardware, building and garden supplies retailing","A3349501L",2006 Dec,90.9
"298","South Australia","Hardware, building and garden supplies retailing","A3349501L",2007 Jan,76.6
"299","South Australia","Hardware, building and garden supplies retailing","A3349501L",2007 Feb,65.9
"300","South Australia","Hardware, building and garden supplies retailing","A3349501L",2007 Mar,74.2
"301","South Australia","Hardware, building and garden supplies retailing","A3349501L",2007 Apr,62.3
"302","South Australia","Hardware, building and garden supplies retailing","A3349501L",2007 May,64.3
"303","South Australia","Hardware, building and garden supplies retailing","A3349501L",2007 Jun,69.3
"304","South Australia","Hardware, building and garden supplies retailing","A3349501L",2007 Jul,66.4
"305","South Australia","Hardware, building and garden supplies retailing","A3349501L",2007 Aug,71.5
"306","South Australia","Hardware, building and garden supplies retailing","A3349501L",2007 Sep,72.7
"307","South Australia","Hardware, building and garden supplies retailing","A3349501L",2007 Oct,93.2
"308","South Australia","Hardware, building and garden supplies retailing","A3349501L",2007 Nov,89.5
"309","South Australia","Hardware, building and garden supplies retailing","A3349501L",2007 Dec,101
"310","South Australia","Hardware, building and garden supplies retailing","A3349501L",2008 Jan,91.6
"311","South Australia","Hardware, building and garden supplies retailing","A3349501L",2008 Feb,81.2
"312","South Australia","Hardware, building and garden supplies retailing","A3349501L",2008 Mar,78.2
"313","South Australia","Hardware, building and garden supplies retailing","A3349501L",2008 Apr,88.1
"314","South Australia","Hardware, building and garden supplies retailing","A3349501L",2008 May,91.4
"315","South Australia","Hardware, building and garden supplies retailing","A3349501L",2008 Jun,97.7
"316","South Australia","Hardware, building and garden supplies retailing","A3349501L",2008 Jul,99.3
"317","South Australia","Hardware, building and garden supplies retailing","A3349501L",2008 Aug,98
"318","South Australia","Hardware, building and garden supplies retailing","A3349501L",2008 Sep,97.4
"319","South Australia","Hardware, building and garden supplies retailing","A3349501L",2008 Oct,106.9
"320","South Australia","Hardware, building and garden supplies retailing","A3349501L",2008 Nov,100.8
"321","South Australia","Hardware, building and garden supplies retailing","A3349501L",2008 Dec,124.4
"322","South Australia","Hardware, building and garden supplies retailing","A3349501L",2009 Jan,96
"323","South Australia","Hardware, building and garden supplies retailing","A3349501L",2009 Feb,78
"324","South Australia","Hardware, building and garden supplies retailing","A3349501L",2009 Mar,90.3
"325","South Australia","Hardware, building and garden supplies retailing","A3349501L",2009 Apr,88.5
"326","South Australia","Hardware, building and garden supplies retailing","A3349501L",2009 May,88.5
"327","South Australia","Hardware, building and garden supplies retailing","A3349501L",2009 Jun,84.1
"328","South Australia","Hardware, building and garden supplies retailing","A3349501L",2009 Jul,77.6
"329","South Australia","Hardware, building and garden supplies retailing","A3349501L",2009 Aug,80.4
"330","South Australia","Hardware, building and garden supplies retailing","A3349501L",2009 Sep,85.8
"331","South Australia","Hardware, building and garden supplies retailing","A3349501L",2009 Oct,98.7
"332","South Australia","Hardware, building and garden supplies retailing","A3349501L",2009 Nov,92.4
"333","South Australia","Hardware, building and garden supplies retailing","A3349501L",2009 Dec,101.6
"334","South Australia","Hardware, building and garden supplies retailing","A3349501L",2010 Jan,79.4
"335","South Australia","Hardware, building and garden supplies retailing","A3349501L",2010 Feb,70.4
"336","South Australia","Hardware, building and garden supplies retailing","A3349501L",2010 Mar,85.7
"337","South Australia","Hardware, building and garden supplies retailing","A3349501L",2010 Apr,93.3
"338","South Australia","Hardware, building and garden supplies retailing","A3349501L",2010 May,85.3
"339","South Australia","Hardware, building and garden supplies retailing","A3349501L",2010 Jun,78.4
"340","South Australia","Hardware, building and garden supplies retailing","A3349501L",2010 Jul,75.9
"341","South Australia","Hardware, building and garden supplies retailing","A3349501L",2010 Aug,76.5
"342","South Australia","Hardware, building and garden supplies retailing","A3349501L",2010 Sep,83.9
"343","South Australia","Hardware, building and garden supplies retailing","A3349501L",2010 Oct,101.5
